Chlor,TSO2,pH,qual,Type
0.03,101,3.36,8,W
0.032,135,3.2,5,W
0.033,91,3.28,6,W
0.038,133,3.11,5,W
0.031,80,3.25,5,W
0.033,91,3.28,6,W
0.036,105,3.32,6,W
0.045,170,3.28,6,W
0.047,139,3.45,5,W
0.049,141,3.43,7,W
0.045,153,3.19,7,W
0.047,129,3.2,6,W
0.044,140,3.18,6,W
0.053,144,3.29,5,W
0.052,145,3.29,6,W
0.05,131,3.28,6,W
0.031,68,3.36,7,W
0.056,155,3.2,6,W
0.052,118,3.15,6,W
0.054,137,3.15,5,W
0.044,146,3.27,7,W
0.038,138,3.03,7,W
0.071,128,3.14,6,W
0.038,138,3.03,7,W
0.047,245,3.25,6,W
0.063,191,2.89,6,W
0.063,191,2.89,6,W
0.05,169,3.15,6,W
0.05,152,3,6,W
0.04,161,3.2,6,W
0.047,162,3.28,6,W
0.055,84,3.15,5,W
0.05,127,3.4,6,W
0.063,191,2.89,6,W
0.037,102,3.49,7,W
0.028,113,3.4,7,W
0.089,143,3.49,6,W
0.053,148,3.12,6,W
0.049,178,3.17,6,W
0.044,72,3.17,5,W
0.053,148,3.12,6,W
0.049,178,3.17,6,W
0.048,204,3.34,5,W
0.048,149,3.1,6,W
0.027,89,3.51,7,W
0.027,89,3.51,7,W
0.037,119,3.32,7,W
0.045,98,3.15,7,W
0.049,155,3.22,6,W
0.037,119,3.32,7,W
0.045,98,3.15,7,W
0.046,179,3.1,6,W
0.051,157,3.12,6,W
0.048,149,3.1,6,W
0.027,125,3.38,7,W
0.027,89,3.51,7,W
0.026,115,3.48,7,W
0.04,260,3.12,5,W
0.047,140,3.39,6,W
0.032,181,3.18,7,W
0.032,181,3.18,7,W
0.031,66,3.1,5,W
0.031,125,3.36,6,W
0.021,69,3.08,6,W
0.044,163,3.19,5,W
0.04,168,3.18,5,W
0.031,93,3.09,5,W
0.037,107,3.46,6,W
0.048,168,3.35,5,W
0.032,83,3.3,6,W
0.037,107,3.46,6,W
0.044,163,3.19,5,W
0.069,108,3.23,5,W
0.046,252,3.07,5,W
0.035,170,3.24,6,W
0.04,168,3.18,5,W
0.031,99,3.39,7,W
0.049,125,3.17,5,W
0.044,116,3.26,6,W
0.031,93,3.09,5,W
0.038,155,2.97,6,W
0.04,140,3.3,6,W
0.036,85,3.16,5,W
0.036,85,3.16,5,W
0.038,155,2.97,6,W
0.04,140,3.3,6,W
0.041,99,3.19,6,W
0.047,210,3.1,5,W
0.041,99,3.19,6,W
0.05,137,3.31,6,W
0.03,136,3.16,7,W
0.045,222,3.25,6,W
0.045,221,3.25,6,W
0.045,221,3.25,6,W
0.047,162,3.34,7,W
0.045,222,3.25,6,W
0.045,221,3.25,6,W
0.053,194,3.09,5,W
0.051,89,3.06,5,W
0.056,197,3.1,5,W
0.053,194,3.09,5,W
0.048,84,3.21,5,W
0.045,214,3.18,7,W
0.108,151,3.07,4,W
0.028,104,3.35,8,W
0.027,97,3.38,7,W
0.042,218.5,3.27,5,W
0.035,186,3.35,8,W
0.045,214,3.18,7,W
0.06,108,3.26,5,W
0.028,102,3.29,7,W
0.033,137,3.3,6,W
0.026,126,3.43,8,W
0.048,245,3.26,6,W
0.031,139,3.2,6,W
0.038,66,3.24,3,W
0.054,156,3.53,5,W
0.048,113,3.44,6,W
0.048,113,3.44,6,W
0.052,127,3.48,7,W
0.07,174,3.03,5,W
0.038,128,3.24,5,W
0.042,160,3.46,7,W
0.046,113,3.41,7,W
0.052,127,3.48,7,W
0.048,113,3.44,6,W
0.022,82,3.3,7,W
0.056,111,2.95,5,W
0.053,218.5,3.29,6,W
0.059,249,3.37,5,W
0.056,111,2.95,5,W
0.047,171,3.22,5,W
0.047,162,3.35,5,W
0.044,68,3.17,6,W
0.047,178,3.16,5,W
0.081,126,2.95,5,W
0.039,141,3.22,6,W
0.044,68,3.17,6,W
0.047,178,3.16,5,W
0.047,182,3.09,5,W
0.039,158,3,6,W
0.036,200,3.14,5,W
0.023,86,3.25,6,W
0.034,132,3.36,7,W
0.03,102,3.24,6,W
0.029,227,3.03,5,W
0.028,105,2.99,7,W
0.037,115,3.11,6,W
0.073,165,2.97,6,W
0.041,164,3.32,6,W
0.043,172,3.22,5,W
0.047,104,3.33,6,W
0.044,137,3.34,5,W
0.043,172,3.22,5,W
0.346,200,3.29,5,W
0.028,117,3.47,6,W
0.025,117,3.46,6,W
0.035,90,3.1,6,W
0.045,180,3.34,6,W
0.047,177,3.13,6,W
0.035,70,3.09,6,W
0.032,65,3.25,7,W
0.039,182,3.18,6,W
0.022,158,3.2,6,W
0.04,103,3.37,6,W
0.025,173,3.33,6,W
0.041,189,3.08,4,W
0.026,147,3.29,6,W
0.04,174,3.27,5,W
0.041,189,3.08,4,W
0.045,200,3.08,6,W
0.038,164,3.12,6,W
0.038,210,3.2,6,W
0.037,210,3.19,5,W
0.053,140,3.06,6,W
0.053,140,3.06,6,W
0.09,135,3.01,5,W
0.048,170,3.64,7,W
0.039,152,3.44,6,W
0.048,170,3.64,7,W
0.041,138,3.21,6,W
0.042,167,3.11,6,W
0.04,141,3.16,6,W
0.025,55,3.21,6,W
0.036,115,3.17,7,W
0.051,167,3.37,6,W
0.055,154,3.08,5,W
0.045,154,3,6,W
0.05,78,3.43,6,W
0.048,41,3.19,5,W
0.039,143,3.05,5,W
0.039,143,3.05,5,W
0.038,101,3.03,6,W
0.033,96,3.03,6,W
0.038,72,3.37,5,W
0.114,140,3.09,6,W
0.04,29,3.04,4,W
0.034,116,3.36,6,W
0.031,104,3.44,6,W
0.03,112,3.56,6,W
0.048,103,3.43,6,W
0.186,150,3.06,5,W
0.067,178,3.01,6,W
0.067,178,3.01,6,W
0.067,178,3.01,6,W
0.047,171,3.09,5,W
0.047,171,3.09,5,W
0.067,178,3.01,6,W
0.045,61,3.31,5,W
0.053,211,3.37,6,W
0.04,175,3.46,4,W
0.05,192,3.16,5,W
0.045,167,3.34,6,W
0.036,148,3.22,6,W
0.047,162,3.21,6,W
0.04,149,3.49,6,W
0.039,172,3.49,6,W
0.052,87,3.3,6,W
0.044,127,3.49,7,W
0.05,192,3.16,5,W
0.05,168,3.07,7,W
0.026,93,2.93,7,W
0.028,118,3,7,W
0.05,168,3.07,7,W
0.028,118,3,7,W
0.026,93,2.93,7,W
0.046,160,2.98,5,W
0.049,137,3.32,6,W
0.044,165,3.25,5,W
0.047,144,3.01,6,W
0.049,150,3.12,7,W
0.057,128,3.24,5,W
0.063,184,3.09,6,W
0.046,135,3.08,7,W
0.066,165,3.2,5,W
0.059,99,3.12,6,W
0.051,37,3.13,6,W
0.048,153,3.08,5,W
0.05,154,3.08,6,W
0.04,179,3.19,6,W
0.051,194,3.05,5,W
0.038,107,3.32,7,W
0.047,181,3.04,5,W
0.032,151,3.16,7,W
0.035,138,3.17,7,W
0.047,185,3.13,6,W
0.047,187,3.13,6,W
0.033,153,3.15,7,W
0.038,107,3.32,7,W
0.034,134,3.38,7,W
0.051,194,3.05,5,W
0.042,111,3.35,5,W
0.056,168,3.13,6,W
0.042,81,2.86,6,W
0.046,134,3.42,7,W
0.042,81,2.86,6,W
0.049,157,3.13,6,W
0.034,136,3.47,7,W
0.036,121,3.42,7,W
0.04,136,3.19,6,W
0.059,148,2.94,5,W
0.037,119,3.32,6,W
0.043,152,3.2,5,W
0.03,131,2.97,5,W
0.03,131,2.97,5,W
0.051,140,3.45,7,W
0.043,152,3.2,5,W
0.034,127,3.17,6,W
0.036,115,3.35,8,W
0.036,55,3.08,7,W
0.18,160,3.11,6,W
0.045,106,2.88,6,W
0.03,131,2.97,5,W
0.03,131,2.97,5,W
0.052,134,2.99,6,W
0.052,134,2.99,6,W
0.049,158,3.43,5,W
0.049,158,3.43,5,W
0.044,161,3.34,5,W
0.061,94,3.48,6,W
0.037,119,3.25,8,W
0.032,95,3.09,6,W
0.047,133,2.99,5,W
0.045,133,3,5,W
0.045,133,3,5,W
0.047,133,2.99,5,W
0.037,101,3.21,7,W
0.051,195,3.23,6,W
0.051,190,3.23,6,W
0.057,135,3.12,6,W
0.084,222,3.18,5,W
0.083,171,2.85,5,W
0.043,141,3.36,6,W
0.045,64,3.23,5,W
0.066,128,3.26,5,W
0.039,130,3.33,8,W
0.096,177,3.32,4,W
0.048,228,3.23,6,W
0.048,228,3.23,6,W
0.036,99,3.18,6,W
0.05,144,3.22,5,W
0.05,144,3.22,5,W
0.04,131,3.26,6,W
0.045,187,3.33,5,W
0.033,150,3.43,6,W
0.027,140,3.49,6,W
0.037,133,3.41,7,W
0.053,148,3.1,5,W
0.046,198,3.3,5,W
0.046,197,3.3,5,W
0.047,127,3.34,7,W
0.054,189,3.25,4,W
0.046,179,3.36,6,W
0.05,163,3.31,5,W
0.051,166,3.31,5,W
0.058,166,3.24,5,W
0.061,151,3.09,4,W
0.05,146,3.16,6,W
0.041,190,3.16,5,W
0.067,189,3.07,7,W
0.067,189,3.07,7,W
0.067,189,3.07,7,W
0.067,189,3.07,7,W
0.053,134,3.34,6,W
0.048,138,3.33,7,W
0.03,117,3.11,6,W
0.028,95,3.04,6,W
0.05,136,3.25,5,W
0.052,188,3.24,5,W
0.038,234.5,3.15,4,W
0.049,86,3.15,5,W
0.032,133,3.37,7,W
0.094,188,3.4,4,W
0.049,86,3.15,5,W
0.052,182,3.35,6,W
0.056,130,3.28,5,W
0.036,195,3.35,6,W
0.052,182,3.35,6,W
0.047,173,3.35,6,W
0.047,211,3.18,5,W
0.058,199,3.14,6,W
0.038,101,3.29,6,W
0.039,150,3.38,8,W
0.038,130,3.36,6,W
0.047,206,3.08,5,W
0.056,201,3.19,6,W
0.057,224,3.23,6,W
0.033,94,3.42,7,W
0.033,94,3.42,7,W
0.033,94,3.42,7,W
0.043,159,3.17,5,W
0.058,171,3.06,5,W
0.052,165,3.24,6,W
0.24,174,3.12,5,W
0.052,183,3.03,5,W
0.051,201,3.25,5,W
0.043,114,3.3,7,W
0.29,193,3.08,4,W
0.044,222,3.14,6,W
0.039,125,3.26,7,W
0.043,136,3.31,4,W
0.037,198,3.17,6,W
0.036,191,3.17,5,W
0.036,185,3.17,5,W
0.041,225,3.16,6,W
0.047,198,3.23,5,W
0.022,94,3.23,6,W
0.039,204,3.06,5,W
0.039,204,3.06,5,W
0.042,204,3.06,5,W
0.042,197,3.06,5,W
0.03,135,3.41,7,W
0.042,84,3.22,4,W
0.038,110,3.12,6,W
0.037,115,3.42,6,W
0.032,41,2.89,5,W
0.041,218,3.15,5,W
0.046,166,3.13,6,W
0.05,130,3.11,6,W
0.044,98,3.14,5,W
0.046,172,3.35,5,W
0.035,128,3.1,6,W
0.035,128,3.1,6,W
0.04,213,3.32,5,W
0.038,187,3.41,6,W
0.038,150,3.49,7,W
0.048,221,3.06,6,W
0.042,157,2.96,5,W
0.038,150,3.49,7,W
0.042,127,3.45,7,W
0.053,178,3.02,5,W
0.046,182,3.5,5,W
0.032,128,3.37,6,W
0.02,89,3.26,8,W
0.028,122,3.14,7,W
0.041,136,3.15,5,W
0.038,114,3.37,7,W
0.057,101,2.99,5,W
0.043,157,3.35,5,W
0.185,188,3.12,5,W
0.042,139,3.35,6,W
0.044,240,3.25,6,W
0.022,49,3.01,7,W
0.052,183,3.02,6,W
0.04,191,3.28,5,W
0.038,129,3.14,6,W
0.052,183,3.02,6,W
0.04,191,3.28,5,W
0.021,142,3.17,7,W
0.038,129,3.14,6,W
0.022,19,3.31,3,W
0.031,57,3.44,6,W
0.03,136,3.28,6,W
0.034,152,3.33,5,W
0.041,160,3.17,5,W
0.022,113,3.26,6,W
0.033,253,3.22,6,W
0.024,177,3.04,6,W
0.049,176,3.3,6,W
0.025,175,3.04,6,W
0.024,177,3.04,6,W
0.036,167,3.15,6,W
0.038,160,3.16,6,W
0.033,253,3.22,6,W
0.11,138,3.09,5,W
0.032,107,3.25,7,W
0.056,175,3.42,5,W
0.051,178,3.4,6,W
0.051,136,3.3,7,W
0.047,134,3.3,7,W
0.049,176,3.3,6,W
0.05,173,3.3,6,W
0.057,247,3,5,W
0.039,128,3.37,6,W
0.042,168,3.22,6,W
0.05,135,2.94,6,W
0.078,238,3.08,5,W
0.028,46,3.21,6,W
0.043,113,3.42,7,W
0.043,113,3.42,7,W
0.045,120,3.41,7,W
0.13,140,3.12,7,W
0.135,144,3.12,7,W
0.039,172,3.4,5,W
0.035,124,3.2,9,W
0.115,104,3.24,6,W
0.039,98,3.02,6,W
0.052,197,3.12,5,W
0.053,178,3.37,7,W
0.053,145,3.28,8,W
0.042,55,3.37,4,W
0.056,213,3.08,6,W
0.053,178,3.37,7,W
0.053,145,3.28,8,W
0.052,197,3.12,5,W
0.039,119,3.27,6,W
0.04,117,3.27,6,W
0.04,117,3.27,6,W
0.037,116,3.46,7,W
0.039,119,3.27,6,W
0.04,117,3.27,6,W
0.033,92,3.39,7,W
0.046,144,3.1,5,W
0.033,92,3.39,7,W
0.049,173,3.03,5,W
0.05,157,3.09,5,W
0.054,215,3.02,6,W
0.046,153,3.28,6,W
0.041,113,3.42,6,W
0.036,75,3.34,8,W
0.036,161,3.06,6,W
0.048,222,3.19,5,W
0.044,220,3.07,5,W
0.039,165,3.41,7,W
0.032,112,3.22,6,W
0.036,161,3.06,6,W
0.046,205,3.17,5,W
0.046,204,3.16,6,W
0.046,246,3.15,6,W
0.046,206,3.17,6,W
0.048,222,3.19,5,W
0.063,120,3.21,6,W
0.055,160,3.42,7,W
0.045,166,3.38,6,W
0.072,229,3.03,6,W
0.04,125,3.01,5,W
0.036,77,3.16,5,W
0.034,133,3.2,5,W
0.04,125,3.01,5,W
0.034,133,3.2,5,W
0.021,85,3.41,9,W
0.071,212,2.96,6,W
0.053,104,3.3,5,W
0.047,117,3.34,6,W
0.036,77,3.16,5,W
0.042,167,3.26,6,W
0.046,155,3.33,6,W
0.031,139,3.28,9,W
0.044,90,3.16,7,W
0.043,90,3.16,7,W
0.06,110,3.72,6,W
0.037,161,3.05,4,W
0.044,108,3.36,8,W
0.035,82,3.18,6,W
0.06,110,3.72,6,W
0.04,108,3.14,8,W
0.034,177,3.25,8,W
0.034,177,3.25,8,W
0.034,177,3.25,8,W
0.034,126,3.16,7,W
0.036,126,3.16,7,W
0.044,169,3.12,7,W
0.044,169,3.12,7,W
0.036,101,3.21,7,W
0.034,118,3.3,8,W
0.034,118,3.3,8,W
0.035,153,3.02,5,W
0.026,73,3.08,5,W
0.044,169,3.12,7,W
0.03,105,3.31,6,W
0.036,101,3.21,7,W
0.042,166,3.1,5,W
0.036,117,3.27,7,W
0.039,151,3.06,5,W
0.036,117,3.27,7,W
0.038,116,3.49,7,W
0.042,166,3.1,5,W
0.042,169,3.1,5,W
0.038,149,3.17,7,W
0.17,166,3.18,5,W
0.03,103,3.22,8,W
0.041,182,3.29,7,W
0.028,163,3.36,6,W
0.029,111,3.24,6,W
0.028,163,3.35,5,W
0.021,117,3.12,6,W
0.036,117,3.27,7,W
0.042,143,3.24,8,W
0.04,173,3.28,7,W
0.037,97,3.19,6,W
0.08,159,3.04,5,W
0.039,151,3.06,5,W
0.03,125,3.06,6,W
0.037,33,2.89,3,W
0.029,64,3.35,5,W
0.037,141,3.2,7,W
0.018,119,3.28,9,W
0.119,104,3.19,6,W
0.126,110,3.23,6,W
0.037,111,3.41,8,W
0.037,141,3.2,7,W
0.04,121,3.19,6,W
0.022,125,3.13,6,W
0.022,125,3.13,6,W
0.035,236,3.35,6,W
0.024,105,3.4,7,W
0.04,173,3.19,6,W
0.044,90,3.37,7,W
0.04,173,3.19,6,W
0.044,90,3.37,7,W
0.046,166,3.3,6,W
0.031,114,3.42,7,W
0.036,114,3.58,5,W
0.037,128,3.12,7,W
0.031,114,3.42,7,W
0.043,67,3.23,6,W
0.047,242,3.22,6,W
0.044,87,3.08,6,W
0.039,67,3.05,6,W
0.047,242,3.22,6,W
0.052,145,3.32,7,W
0.046,113,3.25,6,W
0.048,229,3.08,5,W
0.047,206,3.2,6,W
0.056,159,3.02,8,W
0.047,101,3.06,4,W
0.048,72,3.08,4,W
0.036,124,3.28,8,W
0.054,159,3.32,4,W
0.049,217,3.08,5,W
0.04,144,3.15,5,W
0.042,143,3.15,5,W
0.041,145,3.15,5,W
0.038,30,3.36,5,W
0.05,88,3.24,4,W
0.038,30,3.36,5,W
0.042,137,3.36,7,W
0.037,124,2.93,6,W
0.031,107,3.06,6,W
0.04,107,2.94,7,W
0.057,144,3.55,7,W
0.036,153,3.13,6,W
0.036,153,3.13,6,W
0.044,215,3.17,6,W
0.044,152,3.45,8,W
0.047,100,3.28,5,W
0.042,80,3.36,5,W
0.057,173,3.02,7,W
0.055,179,3.58,5,W
0.044,115,3.15,5,W
0.017,84,3.14,7,W
0.033,230,3.08,5,W
0.046,225,3.18,6,W
0.037,205,3.26,5,W
0.039,233,3.08,5,W
0.041,230,3.12,5,W
0.048,67,3.08,5,W
0.044,115,3.15,5,W
0.044,244,3.36,6,W
0.044,194,3.06,7,W
0.034,197,3.14,5,W
0.037,212,3.25,6,W
0.039,88,3.54,7,W
0.03,135,3.14,7,W
0.051,131,3.28,7,W
0.058,105,3.52,7,W
0.047,205,2.96,5,W
0.039,147,2.96,5,W
0.048,57,3.36,4,W
0.034,84,3.18,5,W
0.043,134,3.08,5,W
0.035,143,3.08,6,W
0.028,99,3.23,6,W
0.042,117,2.99,5,W
0.035,143,3.08,6,W
0.043,134,3.08,5,W
0.042,133,3.07,5,W
0.041,79,3.39,7,W
0.039,78,3.39,7,W
0.05,174,3.03,6,W
0.05,174,3.03,6,W
0.037,101,3.13,7,W
0.05,174,3.03,6,W
0.023,112,3.37,6,W
0.034,152,3.28,6,W
0.035,101,3.15,5,W
0.041,188,3.13,6,W
0.039,153,3.24,6,W
0.028,93,3.34,7,W
0.019,68,3.33,7,W
0.017,102,3.38,7,W
0.02,110,3.32,7,W
0.039,153,3.24,6,W
0.028,93,3.34,7,W
0.046,114,3.32,6,W
0.054,111,3.12,5,W
0.058,131,3.51,6,W
0.05,189,3.25,5,W
0.037,155,3.39,7,W
0.15,54,3.12,5,W
0.152,55,3.12,6,W
0.037,155,3.39,7,W
0.027,72,3.5,6,W
0.026,77,3.41,6,W
0.043,149,3.44,5,W
0.05,122,3.42,6,W
0.054,161,3.12,6,W
0.053,163,3.12,6,W
0.043,149,3.44,5,W
0.036,117,3.06,7,W
0.04,143,2.95,6,W
0.046,69,3.14,4,W
0.049,217,3.19,5,W
0.046,62,3.38,4,W
0.04,187,3.25,6,W
0.046,154,3.05,6,W
0.046,29,3.29,5,W
0.062,152,3.31,6,W
